answer,choices,question
0,"casate,,synagogism,,reuse,,summist","In the course of a bank holdup, Robber fired a gun at Guard. Guard drew his revolver and returned the fire. One of the bullets fired by Guard ricocheted, striking Plaintiff. If Plaintiff asserts a claim against Guard based upon battery, will Plaintiff prevail? "
1,"unseignorial,,swanlike,,quoiter,,firsthand","Mural, a wallpaper hanger, sent Gennybelle, a general contractor, this telegram: Will do all paperhanging on new Doctors' Building, per owner's specs, for $14,000 if you accept within reasonable time after main contract awarded./s/ Mural Three other competing hangers sent Gennybelle similar bids in the respective amounts of $18,000, $19,000, and $20,000. Gennybelle used Mural's $14,000 figure in preparing and submitting her own sealed bid on Doctors' Building. Before the bids were opened, Mural truthfully advised Gennybelle that the former's telegraphic sub-bid had been based on a $4,000 computational error and was therefore revoked. Shortly thereafter, Gennybelle was awarded the Doctors' Building construction contract and subsequently contracted with another paperhanger for a price of $18,000. Gennybelle now sues Mural to recover $4,000. Which of the following, if proved, would most strengthen Gennybelle's prospect of recovery? "
2,"girlfriend,,iricize,,interlying,,argentometric","Mural, a wallpaper hanger, sent Gennybelle, a general contractor, this telegram: Will do all paperhanging on new Doctors' Building, per owner's specs, for $14,000 if you accept within reasonable time after main contract awarded./s/ Mural Three other competing hangers sent Gennybelle similar bids in the respective amounts of $18,000, $19,000, and $20,000. Gennybelle used Mural's $14,000 figure in preparing and submitting her own sealed bid on Doctors' Building. Before the bids were opened, Mural truthfully advised Gennybelle that the former's telegraphic sub-bid had been based on a $4,000 computational error and was therefore revoked. Shortly thereafter, Gennybelle was awarded the Doctors' Building construction contract and subsequently contracted with another paperhanger for a price of $18,000. Gennybelle now sues Mural to recover $4,000. Which of the following, if proved, would best support Mural's defense? "
3,"caponizes,,spermiogenesis,,arraigner,,catapult","Roberta Monk, a famous author, had a life insurance policy with Drummond Life Insurance Company. Her son, Peter, was beneficiary. Roberta disappeared from her residence in the city of Metropolis two years ago and has not been seen since. On the day that Roberta disappeared, Sky Airlines Flight 22 left Metropolis for Rio de Janeiro and vanished; the plane's passenger list included a Roberta Rector. Peter is now suing Drummond Life Insurance Company for the proceeds of his mother's policy. At trial, Peter offers to testify that his mother told him that she planned to write her next novel under the pen name of Roberta Rector. Peter's testimony is "
0,"presumptive,,theobald,,drudging,,oxyacanthous","Jones and Smith, who were professional rivals, were attending a computer industry dinner where each was to receive an award for achievement in the field of data processing. Smith engaged Jones in conversation and expressed the opinion that if they joined forces, they could do even better. Jones replied that she would not consider Smith as a business partner and when Smith demanded to know why, told him that he, Smith, was incompetent. The exchange was overheard by Brown, who attended the dinner. Smith suffered emotional distress but no pecuniary loss. If Smith asserts a claim against Jones based on defamation, will Smith prevail? "
1,"polygonatum,,inosculated,,periwinkler,,hammals","Ozzie owned and occupied Blackacre, which was a tract of land improved with a onefamily house. His friend, Victor, orally offered Ozzie $50,000 for Blackacre, the fair market value, and Ozzie accepted. Because they were friends, they saw no need for attorneys or written contracts and shook hands on the deal. Victor paid Ozzie $5,000 down in cash and agreed to pay the balance of $45,000 at an agreed closing time and place. Before the closing, Victor inherited another home and asked Ozzie to return his $5,000. Ozzie refused, and, at the time set for the closing, Ozzie tendered a good deed to Victor and declared his intention to vacate Blackacre the next day. Ozzie demanded that Victor complete the purchase. Victor refused. The fair market value of Blackacre has remained $50,000. In an appropriate action brought by Ozzie against Victor for specific performance, if Ozzie loses, the most likely reason will be that "
2,"cranker,,novelising,,doven,,pyralidid","The Pinners, a retired couple, had lived in their home in a residential neighborhood for 20 years when the Darleys moved into the house next door and built a swimming pool in the back yard. The four young Darley children frequently played in the pool after school. They often were joined by other neighborhood children. The Pinners were in the habit of reading and listening to classical music in the afternoons. Sometimes they took naps. The boisterous sounds of the children playing in the pool disturbed the Pinners' customary enjoyment of quiet afternoons. In the Pinners' nuisance action for damages against the Darleys, the Pinners should "
3,"carbolineate,,durion,,batoon,,selenigenous","For several weeks Mater, a wealthy, unemployed widow, and Nirvana Motors, Inc., negotiated unsuccessfully over the purchase price of a new Mark XX Rolls-Royce sedan, which, as Nirvana knew, Mater wanted her son Dilbert to have as a wedding gift. On April 27, Nirvana sent Mater a signed, dated memo saying, ""If we can arrive at the same price within the next week, do we have a deal?"" Mater wrote ""Yes"" and her signature at the bottom of this memo and delivered it back to Nirvana on April 29. On May 1, Mater wrote Nirvana a signed letter offering to buy ""one new Mark XX Rolls-Royce sedan, with all available equipment, for $180,000 cash on delivery not later than June 1."" By coincidence, Nirvana wrote Mater a signed letter on May 1 offering to sell her ""one new Mark XX Rolls-Royce sedan, with all available equipment, for $180,000 cash on delivery not later than June 1."" These letters crossed in the mails and were respectively received and read by Mater and Nirvana on May 2. If Mater subsequently asserts and Nirvana denies that the parties had a binding contract on May 3, which of the following most persuasively supports Mater\"
0,"hendness,,whilock,,acidometry,,anoplura","For several weeks Mater, a wealthy, unemployed widow, and Nirvana Motors, Inc., negotiated unsuccessfully over the purchase price of a new Mark XX Rolls-Royce sedan, which, as Nirvana knew, Mater wanted her son Dilbert to have as a wedding gift. On April 27, Nirvana sent Mater a signed, dated memo saying, ""If we can arrive at the same price within the next week, do we have a deal?"" Mater wrote ""Yes"" and her signature at the bottom of this memo and delivered it back to Nirvana on April 29. On May 1, Mater wrote Nirvana a signed letter offering to buy ""one new Mark XX Rolls-Royce sedan, with all available equipment, for $180,000 cash on delivery not later than June 1."" By coincidence, Nirvana wrote Mater a signed letter on May 1 offering to sell her ""one new Mark XX Rolls-Royce sedan, with all available equipment, for $180,000 cash on delivery not later than June 1."" These letters crossed in the mails and were respectively received and read by Mater and Nirvana on May 2. For this question only, assume the following facts. On May 4, Mater and Nirvana Motors both signed a single document evidencing a contract for the sale by Nirvana to Mater, ""as a wedding gift for Mater\"
1,"galyaks,,bromopnea,,tornachile,,mendaciousness","Jones, who was driving his car at night, stopped the car and went into a nearby tavern for a drink. He left the car standing at the side of the road, projecting three feet into the traffic lane. The lights were on and his friend, Peters, was asleep in the back seat. Peters awoke, discovered the situation, and went back to sleep. Before Jones returned, his car was hit by an automobile approaching from the rear and driven by Davis. Peters was injured. Peters sued Davis and Jones jointly to recover the damages he suffered resulting from the accident. The jurisdiction has a pure comparative negligence rule and has abolished the defense of assumption of risk. In respect to other issues, the rules of the common law remain in effect. Peters should recover "
2,"intermediately,,propionic,,perlitic,,misadvisedness","Under the rule allowing exclusion of relevant evidence because its probative value is substantially outweighed by other considerations, which of the following is NOT to be considered? "
3,"memorialisation,,moggies,,unresembling,,kaivalya","On June 1, Buyem, Inc., a widget manufacturer, entered into a written agreement with Mako, Inc., a tool maker, in which Mako agreed to produce and sell to Buyem 12 sets of newly designed dies to be delivered August 1 for the price of $50,000, payable ten days after delivery. Encountering unexpected expenses in the purchase of special alloy steel required for the dies, Mako advised Buyem that production costs would exceed the contract price; and on July 1 Buyem and Mako signed a modification to the June 1 agreement increasing the contract price to $60,000. After timely receipt of 12 sets of dies conforming to the contract specifications, Buyem paid Mako $50,000 but refused to pay more. Which of the following concepts of the Uniform Commercial Code, dealing expressly with the sale of goods, best supports an action by Mako to recover $10,000 for breach of Buyem's July 1 promise? "
0,"chasmy,,overfilling,,neuroanotomy,,deraigned","Twenty years ago, Test, who owned Blackacre, a one-acre tract of land, duly delivered a deed of Blackacre ""to School District so long as it is used for school purposes."" The deed was promptly and properly recorded. Five years ago, Test died leaving Sonny as his only heir but, by his duly probated will, he left ""all my Estate to my friend Fanny."" Last month, School District closed its school on Blackacre and for valid consideration duly executed and delivered a quitclaim deed of Blackacre to Owner, who planned to use the land for commercial development. Owner has now brought an appropriate action to quiet title against Sonny, Fanny, and School District. The only applicable statute is a provision in the jurisdiction\"
1,"cinquefoil,,shedders,,thermodynamician,,unrepellently","Which correctly arranges three scientific terms-theory, law, and hypothesis-from least to most accepted or tested?"
2,"aniseroot,,orthoceratoid,,embossed,,cordant",Which most accurately describes a circle (pie) graph?
3,"suprasternal,,litherly,,challis,,triangulate",Which occurs as a result of Earth's tilt on its rotating axis?
0,"ringleaders,,manganous,,zenu,,persnicketiness",Which human body system attacks viruses and bacteria once they have invaded the body?
1,"hyperactivities,,bestrowed,,tigerproof,,cadalene",Which device converts kinetic energy into electrical energy?
2,"assumingness,,subscapulary,,averter,,summonsing",What is a worldwide increase in temperature called?
3,"outdropped,,unsoundness,,hookahs,,machzors",Which is a true statement regarding the graphing of data?
0,"disagreeing,,hypoptilum,,reconcur,,redeliveries",Which is an example of conduction?
1,"iconoclast,,preseal,,ultraromantic,,heir",Which is a nonrenewable natural resource that is used to make electrical energy?
2,"woollenize,,barsom,,birrus,,trochilopodous",Which is true of scientific discoveries?
3,"multeity,,outpitied,,badan,,pollakiuria",Which is considered a nonrenewable resource?
0,"preendorsing,,veracity,,urares,,electrostereotype",Which adaptation will warn predators not to eat an animal?
1,"sykes,,proconstitutionalism,,gigantostracous,,sillometer","When performing an experiment for a science fair, what should be done if the data do not support the hypothesis?"
2,"hammiest,,goosegrass,,sulfobenzoate,,chemiotropism",Which is a reason for Arkansas having multiple seasons?
3,"emu,,laccolithic,,grundyite,,adoxaceous",What would most likely be measure during an investigation of the water cycle?
0,"wartlet,,micrologically,,synopsize,,overspreading",What is the smallest structural and functional unit of the nervous system?
1,"musculin,,cleaves,,nothus,,rootwalt","An Italian scientist named Alessandro Volta invented the Voltaic pile in 1800. It was able to produce a steady electrical current. Based on this description, what is the modern equivalent of the Voltaic pile?"
2,"westerlies,,ileac,,yahveh,,cucumbers",Which would a scientist use in trying to model the cause of planetary years?
3,"perplexer,,nonacquisitive,,pilis,,pregalvanizing",How many chromosomes are in a human sperm cell?
0,"cancelable,,voraciously,,infelicities,,almira",Which question can most likely be determined through a scientific investigation?
1,"orthoganal,,citrinin,,theatrize,,algorist",Which is a characteristic of a sperm cell but not of an egg cell?
2,"geulah,,mercurializing,,verminating,,exsiccator",Why would explorers use a compass when traveling to unknown lands?
3,"eruption,,amphisbaenas,,preattune,,scrinia",What is the best measure to use in determining the effect of solar energy on Earth's atmosphere?
0,"insurgency,,urochorda,,italophile,,cumber",A wind turbine primarily uses which type of energy?
1,"postresurrectional,,byrnies,,prebendal,,keeping",Which nongaseous compound can be made from two elements that are gases at room temperature?
2,"tapet,,inward,,neatnesses,,rittingerite",Frank needs to move a box by sliding it across the floor. Which two factors will most strongly affect how hard Frank needs to push the box?
3,"reputations,,fubsier,,substantiate,,crevet","In plants, which describes sexual reproduction but not asexual reproduction?"
0,"unyieldingly,,coniferous,,eyeshades,,antituberculin","Sodium chloride, commonly called ""table salt,"" is made up of sodium and chlorine that have been combined chemically. Which term best describes sodium chloride?"
1,"octarch,,wro,,traumatized,,crummier",Which planet has the longest planetary year?
2,"nonacquisitiveness,,albus,,manul,,cuspis",Which would provide evidence of seafloor spreading?
3,"otherworldness,,postfetal,,exterminates,,woodlore",What makes solar energy different from most other energy that people use?
0,"fresne,,sauls,,affiance,,curatolatry",Which best describes two organ systems working together to help maintain homeostasis?
1,"becloaks,,dimber,,recognitions,,hadronic","A large cold front is moving past the school on a hot, humid summer day. Which best describes the type of weather as the cold front passes by?"
2,"pandurate,,serosae,,overflour,,interlardation",Which is the best evidence that cell division is occurring constantly in our bodies?
3,"heyday,,bulldog,,slubberdegullion,,unconsentient",Which human organ system exchanges gases with the environment?
0,"considered,,prolusion,,traily,,incontaminable","A poultry egg is dissected in science class. What is the clear, thick fluid inside the poultry egg that serves as protection for the embryo?"
1,"intoxicatedness,,boothage,,bullhead,,outspread",Which substance is a compound?
2,"evolvement,,unpassionate,,taivers,,opiniatrety",Which describes the role of sexual reproduction in plants and animals?
3,"menometastasis,,magnifier,,repetitions,,shirl","One evening as it is getting dark, Alex sits on the front porch and watches the sun slowly disappear behind the neighbor's house across the street. Which explains this observation?"
0,"vegetated,,clingfish,,compositous,,frontways",Some of Earth's water is stored underground in porous rock formations known as aquifers. Which of these could use up groundwater in aquifers?
1,"metoestrum,,cheiropatagium,,mispaid,,codiaceous",Which statement describes animal embryos?
2,"electroacoustic,,bogey,,dung,,herbages",Which biological process in mammals occurs largely due to cell division?
3,"hematodystrophy,,unbibulous,,coulisses,,monastical","Currently, Antarctica is the coldest and driest place on Earth. Paleontologists have found dinosaur fossils in rock layers below the ice. Based on this evidence, which is a reasonable conclusion about the climate of Antarctica in the past?"
0,"unpursued,,porkchop,,referrers,,celtium",Why should plants be included in investigations about the water cycle?
1,"heliochrome,,boatsmanship,,inventors,,rapines",A teacher puts a cup of coffee into the cup holder of a car. When the car stops suddenly some of the coffee spills out of the cup. Which statement best explains why the coffee spills?
2,"disposes,,whifflingly,,snortingly,,triols",Which process in plants is most similar to sexual reproduction in vertebrates?
3,"diabology,,redyes,,dubitante,,agaze",Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?
0,"facebow,,bemantle,,churnability,,gomorrhean",Which method could be used to separate a solution of table salt and water?
1,"lophostea,,culett,,babiana,,mortarboard",A reflex can protect the body from harm. Which organ systems work together to produce a reflex?
2,"shepherdling,,unhinged,,aliptic,,coincident","In 1783, Europe was unusually cold and foggy. The rain was acidic. Which event most likely caused the unusual climate in Europe that year?"
3,"torteaus,,orangs,,unwit,,orthospermous","In a desert environment, cactus wrens often build their nests in cholla cacti to avoid predators. This behavior does not hurt the cacti. Which type of relationship do cactus wrens and cholla cacti demonstrate?"
0,"mystifies,,impurities,,hypapante,,prooemion",Which sentence about the periodic table of elements is true?
1,"scraze,,marshaling,,palls,,fustigating",Students in Ms. Barrett's science class visited a vehicle crash-test facility. The students observed four different types of vehicles crash against a guard-rail barrier at the end of a 45-meter track as shown in the diagram below. They recorded information about each crash test in the table below. {img:images/States2017/AZ/AZ_Gr8_2008_5.png} What was the velocity (v = d/t) of vehicle 4 when it crashed into the guard rail?
2,"underply,,piggle,,clauster,,alkalimetrical","The students were told that the net applied force from the engine was the same for each vehicle tested. Based on this information, which vehicle had the greatest acceleration (a = F/m)?"
3,"foldure,,untherapeutical,,wraf,,syphilis",Some businesses offer customers the option to pay for merchandise using their fingerprints as identification. Which of the following would most benefit customers that use this new technology?
0,"barracudina,,slope,,collybist,,diphenylguanidine","Which of these best defines the term ""pollutant""?"
1,"frigidity,,psychomoral,,nerveroot,,praesidia",Which statement is the best description of what happens in the rock cycle?
2,"mudskipper,,asterospondylous,,colpohyperplasia,,colognes","Over a long period of time, some flowering plants have become dependent on honey bees to fertilize their seeds. In recent years, a form of mite has infected and killed the honey bees in many areas of the country. Since this has happened, the once bee-dependent plants with the best chance of surviving are those that"
3,"grapiest,,corruptedly,,sangil,,molecast","Denise was driving east over a hill in the afternoon, shortly after a rain shower. Suddenly the sun broke through the clouds, and she saw a rainbow ahead of her. Which of the following made the rainbow possible?"
0,"pretheological,,transimpression,,noconfirm,,leptochlorite",Which of these best defines communicable diseases?
1,"oxychromatin,,nonfarcicality,,misdoings,,hilltopped","As a heavy metal ball rolls down a hill, it goes faster and faster. Which statement is true?"
2,"apotheces,,kipperer,,naught,,untaintedly","In an accurate diagram of the solar system, which object would be shown closest to Earth?"
3,"cocoon,,centiloquy,,factorable,,preextinguishment","In a large forest with many animals, there are only a small number of bears. Which of these most likely limits the population of bears in the forest?"
0,"belanda,,comether,,kartings,,nonconvergency",Louis Pasteur discovered that the bacteria in a substance can be killed by heating the substance for a short period of time. Which of these practices benefited most from Pasteur's discovery?
1,"outsavor,,oneiroscopy,,thrillproof,,burker",Which example describes a behavioral adaptation?
2,"presbyterial,,triacontad,,deoxygenating,,epidiascopic","A forest is flooded when a natural dam breaks, leaving the forest floor under two meters of water. Which animal is most affected by the flooding?"
3,"zeaxanthin,,gorsiest,,antipedobaptist,,shrag",Researchers recently discovered a gene in humans that previously was unknown to science. Which statement best explains why the gene probably was not discovered much sooner?
0,"operatically,,insurrectionising,,mollifyingness,,doughnut",What is a difference between mitosis and meiosis?
1,"synovectomy,,higgler,,lambies,,synodicon",Which resource is most likely found in large amounts in forest ecosystems?
2,"backened,,ferrocyanhydric,,gracing,,pilm",A scientist plans to investigate the nervous system of sea slugs. What should the scientist do first?
3,"nonruminating,,semimetaphoric,,watchtowers,,rotes",What do scientists mean when they refer to a population?
0,"cocautioner,,nonindividualistic,,pouncers,,unrapaciously",This in turn causes the average temperature on Earth to rise. Which of the following observations supports that theory?
1,"tripartedly,,parlance,,uncinch,,pullings","If the number of trees significantly decreases, the atmosphere's level of which gas might significantly increase?"
2,"sinologies,,amphitrichous,,syndicalism,,skell",Frame construction predominates in the New England area due to the abundance of
3,"solstitium,,chirapsia,,teathe,,cognisance","A manufacturing industry has asked to relocate its plant to your town. From an environmental perspective, which question is least important to ask before deciding whether the industry may move to your town?"
0,"assenter,,phenolate,,comamie,,airmails","In pea plants, tall is dominant over short. What size pea plants would result when two short plants are crossed?"
1,"unclinched,,tonnages,,redeyes,,housephone",Which statement best describes the relationship between the total amount of water vapor the atmosphere can hold and the temperature of the atmosphere?
2,"boringness,,pastor,,shaksperean,,lieutenancy",Which statement about photosynthesis and respiration is true?
3,"dodecahydrated,,shea,,consubstantiation,,scatch",Which statement about the Sun is true?
0,"epiphragmal,,fructoses,,conglomerating,,gourmandism","Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force, pliers use the principle demonstrated in the"
1,"nonaseptic,,contingentiam,,messkit,,looten","Lemon juice turns litmus paper red, is corrosive and tastes sour. Lemon juice is classified as"
2,"electrothermally,,fedarie,,constitutionary,,languorously",The first step in the construction of a building typically involves
3,"seelily,,stomatopod,,aracanga,,fourbagger","While studying the relationship between number of trees and amount of atmospheric oxygen, which of the following would be most important to take into account?"
0,"akvavits,,hornblende,,medlars,,mgt",Which technological advancement has done the most to improve the accuracy of weather predictions?
1,"ihlat,,egyptianization,,icelike,,managements",The ratio of an object's mass to its volume is its
2,"awiggle,,hurtlessness,,ego,,osprey",It is necessary to add a day to the calendar every four years because
3,"seminative,,suppeditate,,skirring,,agronomics",Use the information below to answer the question. Each organism on Earth is a part of a complex relationship with other organisms. This relationship is called a food web. The following organisms are part of a food web typically located in and around a reservoir. algae fish rabbit eagle pine tree grass field mouse Which member of the food web is a carnivore?
0,"calcaria,,transversovertical,,synthronos,,beslur","Because sulfur cannot be decomposed by simple chemical methods into two or more different substances, it is classified as"
1,"vignettists,,collectives,,zeroeth,,cortile","If a new moon occurred on June 2, when will the next new moon occur?"
2,"cleat,,rejiggers,,unideational,,controvertibly",Which are produced during photosynthesis?
3,"emancipator,,whirly,,gandhara,,begowned","In pea plants, tall is dominant over short. What size pea plants will result when a pure tall plant is crossed with a pure short plant?"
0,"simule,,shepherdish,,bestore,,vulpeculid",Which list contains only things that are part of our solar system?
1,"eusuchian,,thermoplasticity,,bedawee,,accordancy","Typically, sedimentary rocks are formed"
2,"chisedec,,fiorded,,sideswiped,,oedogonium",The periodic table of the elements is systematically organized according to the
3,"unpotently,,sociopathy,,assonia,,londres",Read the description of the experiment below to answer the question. One hundred pea seeds were put in petri dishes and covered with wet paper towels. The petri dishes were then put inside black plastic bags. Half of them were placed in an incubator set to 10°C. The remaining half were placed in an incubator set to 30°C. This experiment was most likely designed to study the effect of which variable on the germination of pea seeds?
0,"politely,,chargable,,whiteface,,kingdom",Signs in many stores and restaurants warn that microwaves are in use. What is the main reason for this warning?
1,"rudimentariness,,abhenries,,sereins,,toecaps",Which is an example of a chemical change?
2,"grotty,,holohedric,,ingender,,weedling","Mitosis occurs in living things when a cell divides to produce two cells. Compared to the original cell, how many chromosomes are in each of the resulting cells?"
3,"peul,,embroiders,,inarculum,,diametrically","From smallest to largest, the levels of organization in living things are"
0,"cordelier,,valbellite,,threaders,,scusation",Scientists claim that the continents of South America and Africa were once a single landmass. All of the following observations support this claim except
1,"rediscover,,butted,,gunmen,,outblaze","Rocks found on Earth are classified as sedimentary, metamorphic, or igneous based on"
2,"sheening,,rombos,,paphians,,chitinocalcareous",Which best describes transportation technology?
3,"recommended,,primiparous,,triedly,,submarined",Which is a major function of the vacuoles found in cells?
0,"retroussage,,autopepsia,,unflower,,sauteing",Which organisms benefit in the relationship between bees and flowering plants?
1,"daylight,,overoptimistically,,uniequivalent,,toxiphobia","When igneous rock is changed into metamorphic rock, which form of energy is this process?"
2,"soleplate,,cavalrymen,,needlepoints,,enols",Why do areas in the middle of a large continent generally have more extreme differences in temperature than areas near the coastline?
3,"ulamas,,redefeated,,leukocythemia,,superannated",Which of the following is least involved in the decomposition and decay of dead plants and animals?
0,"layery,,nonexclusion,,anticonformities,,jubbah",What is the first step in designing a product?
1,"evilproof,,aggregately,,plaga,,hectocotyl","A scientist on a field trip discovered a new organism. She examined its cells under a microscope and observed several different structures, including a nucleus, a cell wall, and some chloroplasts. This organism would correctly be classified in which of the following kingdoms?"
2,"apicular,,baillone,,reticulocyte,,amt",The pull of gravity on Earth is a direct result of the
3,"epiclike,,sorrowingly,,wiseacre,,neurad",Harmful ultraviolet rays from the Sun are primarily absorbed by
0,"reclassifications,,tonguefence,,unbitted,,vibrissae",The best evidence that two land areas were once connected is the discovery that both land masses
1,"cynosural,,imponderables,,misnavigating,,latexosis","What kingdom contains organisms that are multicellular, have no chlorophyll, and absorb nutrients from decaying tissue?"
2,"toadish,,outhiss,,endostosis,,vigilantism",Which of the following is the best example of a custom-made product?
3,"scandia,,menstruation,,zillionths,,reimposing",What energy transformation occurs when an electric lamp is turned on?
0,"gteau,,anama,,woodlore,,reticently",The surface gravity of Pluto is the weakest of the nine planets because Pluto
1,"cuboides,,podalirius,,cadalene,,attacca","Single-celled organisms can reproduce and create cells exactly like themselves without combining genes from two different parent cells. When they do this, they use a type of"
2,"heatedness,,roughsetter,,fraughtage,,karate",Which two body systems work together to transport oxygen to the cells?
3,"porriwiggle,,whipgraft,,enlargedly,,ingravescence",A scientist combines oxygen and hydrogen to form water. This combination illustrates that water is
0,"ecchondroma,,bats,,rubious,,boled",A rabbit population has increased noticeably in the past ten years. Which of the following is a reasonable hypothesis for this population growth?
1,"lucinacea,,neuraxitis,,nontelescopic,,penalising",Which is the thickest layer of Earth?
2,"nonpurposiveness,,glaziness,,uncircumscript,,benighted",Many areas of Massachusetts have small deep ponds called kettle ponds. Which of the following best explains the formation of these ponds?
3,"rhythmization,,undividedness,,supernaturally,,dotlike","When a balloon is filled with air and suddenly released, it will fly around the room as the air escapes. If compared to space transportation, the escaping air is most similar to what subsystem of a spacecraft?"
0,"chrysophilist,,nomismata,,hypsidolichocephalic,,impalpability",The starch and water molecules in potato cells are stored in what organelle?
1,"tetraploid,,maintop,,microelectronically,,outweapon",In which situation would it be an advantage to ship a product by plane rather than by truck?
2,"recrowd,,obovate,,gabari,,detrect",Which of the following is an example of an assistive device?
3,"flauto,,trichophytia,,oinks,,ruminative",About how many Earth days does it take the Moon to travel around Earth?
0,"firmance,,desdemona,,roncos,,bepearl",Which of the following is most responsible for the decay of dead organisms?
1,"rickettsias,,stridulatory,,forestallment,,kindjal",A flowing stream contains water at 18°C. Cans of soft drinks at 28°C are lowered into the stream. Which of the following will most likely occur?
2,"honeymooning,,esculents,,disembowelments,,depilated","In making a pizza, which process involves a chemical change?"
3,"pleader,,steaakhouse,,feedy,,maccabees",Which body system's primary function is the continuation of the species?
0,"melismatics,,porkeater,,disillusionising,,antireligiously",What is the smallest particle of the element gold (Au) that can still be classified as gold?
1,"fondish,,resay,,disagio,,telomerization",The force of gravity on an object depends primarily on the object's
2,"crosse,,tearer,,antebrachia,,agatiform","At a weightlifting competition, two competitors lifted the same weight to the same height. The second competitor accomplished the lift 2 seconds faster than the first competitor. This demonstrated that the second competitor had more"
3,"apanages,,crataeva,,visionaries,,bullyrags",A 72 W navigation unit on a commercial aircraft has a 24 V power supply and uses 3 A of electric current. What is the electrical resistance of the navigation unit?
0,"reechoing,,ryots,,smeared,,intermarrying",A bowling ball with a mass of 8.0 kg rolls down a bowling lane at 2.0 m/s. What is the momentum of the bowling ball?
1,"eolipile,,osteocyte,,kiosk,,tachygraphometer","If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will"
2,"phials,,seasonally,,emandibulate,,interjectory","Sulfur (S), oxygen (O2), water (H2O), and sodium chloride (NaCl) are all examples of pure substances. Which of the following describes all pure substances?"
3,"syrianic,,westlin,,halvahs,,selffulness","The population of which of the following 26 organisms would most likely decline if small animals like rats, rabbits, and snakes were eliminated from an ecosystem?"
0,"involutely,,afibrinogenemia,,urbanolatry,,awaitlala",Which of the following is an example of heat transfer by conduction?
1,"unscornfully,,metapleuron,,scytonemataceae,,flaith","In order for a glider to fly, its weight must be opposed by"
2,"wagwit,,preposter,,redespise,,marsupialised",Which of the following is an example of a physical change?
3,"unlordly,,swimmeret,,phoenicochroite,,matched","A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?"
0,"agitato,,calzoons,,trav,,niching","A student is standing on a skateboard that is not moving. The total mass of the student and the skateboard is 50 kilograms. The student throws a ball with a mass of 2 kilograms forward at 5 m/s. Assuming the skateboard wheels are frictionless, how will the student and the skateboard move?"
1,"bezant,,prendre,,sheefishes,,perennibranchiate",Foam weather stripping is often placed in the frames of doors and windows in a home. What is the purpose of this weather stripping?
2,"campanella,,restionaceae,,hyphomycetales,,hectographic",Which of the following is a similarity 20 between x-ray waves and sound waves?
3,"phallics,,uricolytic,,susanne,,cosmopolitanly",Which of the following describes how a microwave oven heats food?
0,"phosphorylase,,meu,,measurable,,secpars",A recycling plant manager needs to melt 1500 kg of scrap copper to sell to a wire manufacturer. The copper is at 15°C and its melting point is 1083°C. The copper has a specific heat of 385 J/kg x K. How much heat is required to raise the temperature of the copper to its melting point?
1,"cabin,,thomsenolite,,disprejudice,,glibber",Which of the following describes an object that must have a net negative charge?
2,"grommets,,nightwear,,ungoodness,,exoascales",An organ pipe produces a musical note same number of nitrogen gas molecules. with a wavelength of 2.72 m. What is the frequency of this note if the speed of sound is 348 m/s?
3,"ganglioside,,beldamship,,equanimity,,klaskino",A researcher found shark fossils on top of a mountain. This evidence suggests which of the following about this region?
0,"translated,,ungraveled,,emetic,,lockless",What are the basic structural units of living organisms?
1,"adstringe,,borasca,,mortalizing,,tensioned",Index fossils help scientists estimate the age of a rock because index fossil species only existed for a relatively short time. What happened to the species that are now used as index fossils?
2,"ouzo,,uninitiative,,hipmi,,speed",Spirogyra are green algae that can reproduce sexually. Which of the following features identifies reproduction in Spirogyra as sexual reproduction?
3,"motorised,,alchemy,,feral,,pettishness",The Moon orbits Earth at a speed of approximately one kilometer per second. The Moon is kept in orbit by which of the following?
0,"monospermal,,nonorientation,,dreadnought,,surbased",Where is an igneous rock such as pumice most likely formed?
1,"outhear,,prepubic,,quiescence,,philologistic","In one of the steps of the carbon cycle, a person exhales a molecule of carbon dioxide (CO2) into the atmosphere. Which of the following is most likely to happen next to the atom of carbon in this molecule?"
2,"substantiative,,melicertidae,,uji,,latitude",Perfume sprayed from a bottle spreads more easily in a warm room of 25°C than in a cool room of 15°C. Which of the following correctly compares perfume molecules at 25°C to those at 15°C?
3,"oilcake,,goosishness,,sulphazid,,exocannibalism",A single prokaryotic cell can divide several times in an hour. Few eukaryotic cells can divide as quickly. Which of the following statements best explains this difference?
0,"amerindic,,massmonger,,meekoceras,,ghibelline",Which of the following devices relies on electromagnetic radiation in the radio wave region of the spectrum for operation?
1,"endodontist,,hyphenized,,realmlet,,pac",Which of the following has the least momentum?
2,"tarsus,,voluntarism,,curiologic,,pubs","Mr. Jenkins constructed a circuit consisting of a variable source, wires, and a resistor. In order to triple the amount of current, how should he change the voltage of the source?"
